calyx.width,calyx.length,flower.mass,flower.number,leaf.length,leaf.mass,stem.mass
1,0.244,0.697,-0.338,-0.107,0.069,0.147
0.244,1,0.672,-0.38,0.384,0.223,0.063
0.697,0.672,1,-0.593,0.008,0.236,-0.157
-0.338,-0.38,-0.593,1,0.324,-0.216,0.401
-0.107,0.384,0.008,0.324,1,-0.304,0.216
0.069,0.223,0.236,-0.216,-0.304,1,0.213
0.147,0.063,-0.157,0.401,0.216,0.213,1
