calyx.width,calyx.length,flower.mass,flower.number,leaf.length,leaf.mass,stem.mass
1,0.317,0.532,-0.213,0.125,0.366,0.252
0.317,1,0.615,-0.492,0.168,-0.130,0.126
0.532,0.615,1,-0.721,0.176,-0.167,-0.182
-0.213,-0.492,-0.721,1,-0.262,-0.170,0.424
0.125,0.168,0.176,-0.262,1,-0.15,-0.137
0.366,-0.130,-0.167,-0.170,-0.15,1,0.515
0.252,0.126,-0.182,0.424,-0.137,0.515,1
