Tarsus,Head,Cap,Back,Wing,Chest
1.00000000,0.59,-0.17,-0.68,0.44,0.21
0.59000000,1.00000000,-0.4,-0.44,-0.07,0.32
-0.17000000,-0.40000000,1.00000000,0.28,1.2,0.12
-0.68000000,-0.44000000,0.28000000,1.00000000,0.09,0.4
0.44000000,-0.07000000,1.20000000,0.09000000,1.00000000,0.72
0.21,0.32,0.12,0.4,0.72,1
